ID	label
1022893852951105536	rumor
1023076956567289856	rumor
1028550659899977728	non-rumor
1128603807988895746	rumor
1172475207652642817	non-rumor
1195453922418184192	non-rumor
1213114816904101888	rumor
1219457748397477889	non-rumor
1219647867024855040	rumor
1220147759166164992	rumor
1220258728596951040	rumor
1220395353444319234	rumor
1220547619098726401	rumor
1220748651934314498	rumor
1220832651667484672	non-rumor
1220992009910964224	rumor
1221403607720853504	rumor
1221623088003141633	rumor
1222145138862034944	rumor
1222158974306471942	rumor
1222335383679074304	rumor
1222749641197772800	non-rumor
1222938427366178817	rumor
1222972618262941697	non-rumor
1223066647839162368	rumor
1223178043004338176	rumor
1223260889417052160	non-rumor
1223477523817750528	rumor
1224251114037530624	non-rumor
1224989288582012928	non-rumor
1225431938212589569	non-rumor
1225660013789581312	rumor
1225690911742529536	non-rumor
1225803308570308608	non-rumor
1226695407176015874	non-rumor
1227036829913886722	rumor
1227264803363680256	non-rumor
1227445630060109826	rumor
1227467580459319298	non-rumor
1227810839144497152	non-rumor
1227846563126398976	non-rumor
1227853469119238144	non-rumor
1228207200209752065	non-rumor
1228597128328400897	non-rumor
1228607691431563264	rumor
1228910398729965572	non-rumor
1228952957699293186	non-rumor
1228999862198272002	non-rumor
1229330517838794752	non-rumor
1229682631194726402	rumor
1230455648204161024	non-rumor
1230707440104001539	non-rumor
1231537336501989376	rumor
1232122166679760897	rumor
1232126275952623621	rumor
1232258254886993920	rumor
1233055529364123649	rumor
1233077365007437841	rumor
1233574178449547264	non-rumor
1234087543022350337	rumor
1235146354432675840	non-rumor
1235802779978850304	rumor
1236071426253189120	rumor
1236323682068434944	non-rumor
1236484206638682112	non-rumor
1236662435236524036	rumor
1236936997421436929	non-rumor
1237188558219137026	non-rumor
1237780107957166082	non-rumor
1237780692727148546	non-rumor
1237784022778068993	rumor
1237842118753705984	non-rumor
1237980418705485825	rumor
1238079563436929024	non-rumor
1238095523376173058	rumor
1238229546756796416	non-rumor
1238631910626283521	non-rumor
1238720019946598402	rumor
1239889586014154753	non-rumor
1239890685181849601	non-rumor
1240322631250960386	rumor
1240503264879218688	non-rumor
1240977995256475649	rumor
1240999304715628544	non-rumor
1241406857949806595	non-rumor
1241431751144157187	rumor
1242249562951016448	non-rumor
1242918312838721536	non-rumor
1243009781402566658	non-rumor
1243208590355243008	non-rumor
1243215922627612672	non-rumor
1243505063114375169	non-rumor
1243590903324905473	non-rumor
1243895479437611008	non-rumor
1243924037761241088	non-rumor
1243930851617976320	non-rumor
1244068756252319746	non-rumor
1244086193186377729	rumor
1244177041433358337	non-rumor
1244212686713270272	rumor
1244307446920699904	rumor
1244797057401004032	non-rumor
1244872712327069696	non-rumor
1245187829313011713	non-rumor
1245616642861568004	non-rumor
1245625411574235136	non-rumor
1245687559918845963	non-rumor
1245702285922955269	non-rumor
1245739533963935745	non-rumor
1245830802442571776	rumor
1246372953266126848	non-rumor
1247663299044364288	rumor
1247728372328747009	non-rumor
1247830512665853955	rumor
1247921296375042048	non-rumor
1247979276349169668	non-rumor
1247980602529206272	non-rumor
1248025597999116288	non-rumor
1248052088124268546	non-rumor
1248082565958791168	non-rumor
1248131260104314880	rumor
1248151264904413184	non-rumor
1248231760300617729	non-rumor
1248234985733013505	non-rumor
1248297491268698117	non-rumor
1248423313988149249	non-rumor
1248506247772545025	non-rumor
1248580745892782080	non-rumor
1248668845729931266	non-rumor
1248795320508657664	non-rumor
1248961021814816769	non-rumor
1249215090613727235	rumor
1249285524742762496	non-rumor
1249389685249433602	non-rumor
1249468726774312963	rumor
1249988282030551041	rumor
1250187427257430016	non-rumor
1250201838235922443	non-rumor
1250240401060982784	rumor
1250249987465687040	non-rumor
1250355291113189377	non-rumor
1250547774111784962	non-rumor
1250596319002935296	rumor
1250619926479622145	non-rumor
1250750322424926208	non-rumor
1250934753408106496	non-rumor
1251053799310913536	non-rumor
1251400167737065472	non-rumor
1251851165521702912	non-rumor
1252154857751891968	rumor
1252416766342381576	non-rumor
1252431864809377792	non-rumor
1252884852778688513	non-rumor
1253104923962740738	non-rumor
1253247239214043136	non-rumor
1253271160403312640	non-rumor
1254807674509811712	non-rumor
1254820116719710208	rumor
1254884670258348032	non-rumor
1255318263942217728	non-rumor
1255694206787481600	rumor
1256051850500902914	rumor
1256239443373162496	rumor
1256739378786791424	non-rumor
1257427171200708609	non-rumor
1257504234200657920	non-rumor
1258013785874296832	non-rumor
1259096393832108038	rumor
1260097032934457349	rumor
1260140356794007553	non-rumor
1260151154924679174	non-rumor
1260394075699568642	non-rumor
1260650884481953793	non-rumor
1261912056581640193	non-rumor
1262277410998726657	non-rumor
1262316093193871360	rumor
1262357246769418241	non-rumor
1262544726986821632	rumor
1262589046636699648	non-rumor
1262607925702299649	non-rumor
1262698663760953345	non-rumor
1262762467794415619	non-rumor
1262810138517389314	non-rumor
1262953562012876800	rumor
1263155250090905602	rumor
1263799972908040192	non-rumor
1265029268892876800	non-rumor
1266447338312212482	non-rumor
1266465822157025283	non-rumor
1266524101436485634	non-rumor
1266984330498207746	non-rumor
1267319967021584384	non-rumor
1268980713094819840	non-rumor
1269076951999803392	non-rumor
1269098614808211456	non-rumor
1269126844239888384	non-rumor
1269170996520550400	non-rumor
1269483530293112833	non-rumor
1270026083191205894	rumor
1271307673368055815	rumor
1273435261775630340	non-rumor
1274227199399219200	non-rumor
1275021336268570626	non-rumor
1277956823056699395	non-rumor
1278925459695124480	non-rumor
1280621786950807552	non-rumor
1280637726774251522	non-rumor
1280638456927080450	non-rumor
1280692372733452290	non-rumor
1280977233251721216	non-rumor
1281422216379240453	non-rumor
1281894121783783425	non-rumor
1281947935119269889	non-rumor
1282368749291667456	rumor
1282902647012495360	non-rumor
1291528790686838784	non-rumor
1291687840049332224	non-rumor
1291993003549024257	non-rumor
1292473546325671941	rumor
1293049504309149696	non-rumor
1296905298628632576	non-rumor
1301716614765858816	non-rumor
1301918241858744322	non-rumor
1313711323151126529	rumor
1314750409358020608	non-rumor
1316607411268984832	non-rumor
1317239852996362246	non-rumor
1324515640212824064	non-rumor
1324529694839050240	rumor
1326768605493649408	rumor
1329725359328210946	rumor
1339420065289166848	non-rumor
1339592856097357829	rumor
1341405903954821121	rumor
1345352406507274240	non-rumor
1346105425901584386	non-rumor
1346565064963354624	rumor
1346574205526003712	non-rumor
1346592692986204161	non-rumor
1346618735730307078	non-rumor
992059916604002304	rumor
998856319393153024	non-rumor
1021477765256806405	non-rumor
1021692903280668672	rumor
1021762614521544704	rumor
1021817844613480451	rumor
1022463707933106177	rumor
1022493345304666113	rumor
1023556640572755969	rumor
1027348662689587200	rumor
1076345581734309889	rumor
1081168806150516736	rumor
1084000833866481664	rumor
1084218271610605573	non-rumor
1084478937240023040	non-rumor
1084492999340449792	non-rumor
1100676432034963456	non-rumor
1108730156716191745	rumor
1169085727637786624	rumor
1171430627268104192	non-rumor
1193216738688528384	rumor
1193397981526933504	rumor
1198559647667408896	rumor
1199217270788104192	rumor
1202028893437214721	rumor
1220608707018416129	rumor
1221319356388261889	non-rumor
1223185866492743680	non-rumor
1223245787208962048	rumor
1224689991613202432	rumor
1231222826318942208	non-rumor
1233037328832032774	rumor
1235137876825796608	rumor
1235344265938640897	rumor
1240101915926634497	rumor
1240754126490755074	rumor
1240765621853356035	rumor
1240899740511784961	rumor
1241435741558841348	non-rumor
1254986732925153282	rumor
1262027594054152192	non-rumor
1262343061192859649	non-rumor
1262520294008172544	non-rumor
1262548777703006209	non-rumor
1262718921892868097	non-rumor
1265133716386414593	rumor
1267029329667485696	non-rumor
1267455195312730117	rumor
1269477774281998338	non-rumor
1269567885967417344	non-rumor
1269919084885336065	non-rumor
1271084428522147844	non-rumor
1273085159164739590	rumor
1274385436052316160	non-rumor
1274536876985077760	non-rumor
1285304134866890753	rumor
1286820711768551425	non-rumor
1286859556841238528	rumor
1288299918130475008	rumor
1289080399109349376	non-rumor
1289783003028193281	non-rumor
1289895656966860800	non-rumor
1291740645556617218	non-rumor
1293144507597299713	non-rumor
1294084749674373123	non-rumor
1296577155774775298	rumor
1296584614169808898	rumor
1296655121103745025	non-rumor
1296855447429738496	non-rumor
1299620914452021248	rumor
1299680764393672705	rumor
1302080787651719169	rumor
1302082477054464000	non-rumor
1302305497236885509	non-rumor
1303435565392629762	non-rumor
1304025136627167235	rumor
1304442053011501057	rumor
1304857309051408384	non-rumor
1305029366229786624	non-rumor
1309121072399298567	non-rumor
1309486380599447562	rumor
1309728140780949504	rumor
1309756779518070786	non-rumor
1310112736060141569	non-rumor
1310935616952184834	rumor
1311232201061670912	non-rumor
1311236882676633600	non-rumor
1311633975358689280	rumor
1313125304311791616	rumor
1314377540732100613	non-rumor
1318716439310848000	rumor
1318888247670403075	rumor
1318965294820253697	rumor
1319087103217528832	rumor
1319181305687388160	rumor
1321807268745113603	non-rumor
1326503838610698240	non-rumor
1328336896368447489	non-rumor
1329592883192672256	rumor
1330821682131419137	non-rumor
1331033975469395969	rumor
1331485958575775744	non-rumor
1335891556805406721	non-rumor
1335964234606206978	rumor
1336525514002018306	rumor
1336663892869730307	rumor
1337304090179641345	non-rumor
1337403328204947459	rumor
1337942218640789504	rumor
1337981919665872897	rumor
1337998061377765376	non-rumor
1338430367229886464	rumor
1339223763754180608	non-rumor
1339379108594200583	non-rumor
1339391601747972097	non-rumor
1339409350943625216	non-rumor
1339493850239258628	rumor
1339495477604020224	rumor
